"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2018","455.75","458.00","460.75","453.75","92.77K","-1.09%"
"02/13/2018","460.75","465.00","467.25","459.00","139.47K","-0.70%"
"02/12/2018","464.00","452.00","465.00","451.50","130.18K","3.34%"
"02/09/2018","449.00","454.25","456.00","448.25","119.90K","-1.59%"
"02/08/2018","456.25","461.75","464.50","451.25","133.04K","-0.92%"
"02/07/2018","460.50","449.00","461.75","447.75","149.04K","3.19%"
"02/06/2018","446.25","442.00","447.75","438.75","80.12K","1.36%"
"02/05/2018","440.25","443.25","445.75","438.75","100.97K","-1.45%"
"02/02/2018","446.75","449.75","451.00","445.00","69.04K","-0.94%"
"02/01/2018","451.00","451.00","451.50","443.25","112.72K","-0.17%"
"01/31/2018","451.75","458.50","458.75","447.50","121.25K","-1.20%"
"01/30/2018","457.25","454.00","458.50","449.75","130.21K","1.78%"
"01/29/2018","449.25","443.00","449.75","443.00","109.24K","1.87%"
"01/26/2018","441.00","435.00","442.50","434.25","83.10K","1.50%"
"01/25/2018","434.50","433.00","438.75","429.50","91.60K","0.35%"
"01/24/2018","433.00","422.25","433.75","420.75","113.54K","2.73%"
"01/23/2018","421.50","423.50","425.00","419.75","57.49K","-1.00%"
"01/22/2018","425.75","424.50","427.50","423.25","51.15K","0.71%"
"01/19/2018","422.75","425.25","427.25","421.50","39.94K","-0.59%"
"01/18/2018","425.25","422.25","425.75","421.25","53.11K","0.89%"
"01/17/2018","421.50","416.75","423.25","415.50","53.02K","1.20%"
"01/16/2018","416.50","420.25","422.75","413.25","83.27K","-0.95%"
"01/12/2018","420.50","433.25","436.00","418.75","131.03K","-2.94%"
"01/11/2018","433.25","434.25","434.50","428.50","73.17K","-0.23%"
"01/10/2018","434.25","432.25","435.00","431.50","62.13K","0.46%"
"01/09/2018","432.25","427.75","433.75","425.25","63.52K","1.05%"
"01/08/2018","427.75","430.25","432.25","425.75","71.82K","-0.70%"
"01/05/2018","430.75","433.00","433.75","427.50","62.55K","-0.75%"
"01/04/2018","434.00","435.75","436.00","431.00","58.73K","-0.46%"
"01/03/2018","436.00","435.25","437.00","432.00","70.97K","0.58%"
"01/02/2018","433.50","428.25","436.25","428.25","71.35K","1.52%"
"12/29/2017","427.00","426.25","428.00","424.00","37.22K","-0.18%"
"12/28/2017","427.75","427.50","428.75","425.25","31.94K","-0.06%"
"12/27/2017","428.00","422.25","428.25","420.75","36.73K","1.36%"
"12/26/2017","422.25","424.00","426.75","420.75","27.39K","-0.59%"
"12/22/2017","424.75","426.75","429.00","424.25","39.04K","-0.53%"
"12/21/2017","427.00","424.00","427.50","422.50","44.55K","0.83%"
"12/20/2017","423.50","418.75","424.50","416.25","54.04K","0.95%"
"12/19/2017","419.50","420.50","424.00","419.00","39.62K","-0.24%"
"12/18/2017","420.50","420.25","423.50","419.50","47.97K","0.54%"
"12/15/2017","418.25","418.75","421.50","415.00","49.12K","5.89%"
"12/14/2017","395.00","417.50","420.75","416.25","0.12K","0.70%"
"12/13/2017","392.25","411.50","417.25","411.50","0.05K","1.29%"
"12/12/2017","387.25","413.50","418.75","411.25","0.15K","-0.13%"
"12/11/2017","387.75","386.50","387.25","386.50","0.06K","-1.08%"
"12/08/2017","392.00","395.50","395.50","391.50","0.21K","-0.57%"
"12/07/2017","394.25","396.25","397.25","394.00","0.16K","-1.07%"
"12/06/2017","398.50","407.25","407.25","398.50","0.14K","-1.85%"
"12/05/2017","406.00","410.25","411.00","405.50","1.14K","-1.04%"
"12/04/2017","410.25","416.00","419.00","410.75","0.95K","-1.03%"
"12/01/2017","414.50","409.00","414.75","408.00","3.44K","1.28%"
"11/30/2017","409.25","415.25","417.25","407.75","14.09K","-1.74%"
"11/29/2017","416.50","410.75","417.25","410.50","37.72K","1.40%"
"11/28/2017","410.75","410.25","412.25","405.25","40.90K","0.31%"
"11/27/2017","409.50","415.50","416.00","408.75","43.93K","-1.50%"
"11/24/2017","415.75","422.00","422.25","412.50","53.95K","-1.66%"
"11/22/2017","422.75","424.75","426.25","420.75","62.50K","-0.47%"
"11/21/2017","424.75","421.75","428.75","420.25","62.06K","0.65%"
"11/20/2017","422.00","427.75","428.00","419.25","65.12K","-1.23%"
"11/17/2017","427.25","421.50","428.00","421.00","60.66K","1.36%"
"11/16/2017","421.50","421.50","424.50","419.50","65.60K","0.36%"
"11/15/2017","420.00","427.75","428.25","418.00","76.38K","-1.87%"
"11/14/2017","428.00","424.75","429.50","423.25","93.37K","0.88%"
"11/13/2017","424.25","432.00","432.00","422.25","110.24K","-1.68%"
"11/10/2017","431.50","429.50","434.25","426.75","106.00K","0.58%"
"11/09/2017","429.00","425.75","432.00","423.75","155.47K","0.53%"
"11/08/2017","426.75","427.25","427.50","419.00","94.74K","-0.12%"
"11/07/2017","427.25","430.25","431.00","424.00","113.50K","-0.81%"
"11/06/2017","430.75","427.00","431.25","427.00","84.45K","1.17%"
"11/03/2017","425.75","427.00","429.00","422.25","68.73K","-0.06%"
"11/02/2017","426.00","417.50","426.75","417.50","70.60K","1.91%"
"11/01/2017","418.00","418.75","422.00","416.50","66.28K","-0.12%"
"10/31/2017","418.50","425.00","426.25","416.25","93.96K","-1.47%"
"10/30/2017","424.75","427.50","428.25","422.50","49.31K","-0.59%"
"10/27/2017","427.25","430.50","431.25","424.75","62.47K","-1.04%"
"10/26/2017","431.75","435.50","437.50","431.00","45.42K","-0.86%"
"10/25/2017","435.50","438.00","443.00","433.75","59.31K","-0.57%"
"10/24/2017","438.00","438.00","438.75","433.00","47.69K","0.29%"
"10/23/2017","436.75","426.25","438.25","423.75","82.20K","2.52%"
"10/20/2017","426.00","433.00","436.00","425.00","51.12K","-1.56%"
"10/19/2017","432.75","430.50","436.25","429.50","53.11K","0.64%"
"10/18/2017","430.00","434.75","435.25","429.00","47.23K","-1.09%"
"10/17/2017","434.75","436.50","440.75","433.50","46.21K","-0.40%"
"10/16/2017","436.50","440.00","442.75","435.50","46.50K","-0.68%"
"10/13/2017","439.50","430.75","440.75","430.50","52.24K","2.09%"
"10/12/2017","430.50","432.50","437.75","428.00","74.22K","-0.63%"
"10/11/2017","433.25","435.00","435.50","429.75","72.06K","-0.46%"
"10/10/2017","435.25","436.75","439.75","434.00","54.05K","-0.17%"
"10/09/2017","436.00","444.00","445.75","435.50","59.17K","-1.69%"
"10/06/2017","443.50","440.50","444.75","438.75","47.87K","0.62%"
"10/05/2017","440.75","443.25","444.00","438.00","57.91K","-0.28%"
"10/04/2017","442.00","448.75","449.25","441.50","57.49K","-1.34%"
"10/03/2017","448.00","445.00","450.50","443.25","81.89K","0.73%"
"10/02/2017","444.75","446.50","448.50","439.50","75.65K","-0.78%"
"09/29/2017","448.25","455.50","459.00","446.25","93.11K","-1.48%"
"09/28/2017","455.00","462.00","462.00","454.00","57.17K","-1.41%"
"09/27/2017","461.50","454.00","462.75","449.00","74.38K","1.71%"
"09/26/2017","453.75","453.50","460.75","451.50","70.89K","-0.06%"
"09/25/2017","454.00","448.00","454.75","444.00","64.12K","1.00%"
"09/22/2017","449.50","452.50","455.00","448.00","58.49K","-0.66%"
"09/21/2017","452.50","451.75","454.50","445.50","61.68K","0.61%"
"09/20/2017","449.75","443.25","452.00","442.75","62.18K","1.52%"
"09/19/2017","443.00","442.75","446.75","435.75","71.99K","-0.11%"
"09/18/2017","443.50","448.50","450.75","442.25","54.10K","-1.22%"
"09/15/2017","449.00","443.50","450.25","440.75","60.90K","4.85%"
"09/14/2017","428.25","443.75","450.50","442.00","0.00K","1.78%"
"09/13/2017","420.75","426.00","426.00","426.00","0.00K","0.30%"
"09/12/2017","419.50","415.00","418.75","415.00","0.02K","1.76%"
"09/11/2017","412.25","417.75","418.50","413.50","0.02K","-0.36%"
"09/08/2017","413.75","415.75","415.75","412.50","0.05K","0.06%"
"09/07/2017","413.50","421.00","421.00","412.00","0.13K","-1.96%"
"09/06/2017","421.75","425.00","428.00","421.00","0.15K","-2.03%"
"09/05/2017","430.50","428.25","433.50","428.00","0.41K","2.38%"
"09/01/2017","420.50","410.75","421.75","408.75","0.61K","2.50%"
"08/31/2017","410.25","403.50","411.75","402.75","1.46K","1.67%"
"08/30/2017","403.50","403.00","407.00","400.00","12.50K","0.19%"
"08/29/2017","402.75","400.50","404.00","394.50","22.86K","0.69%"
"08/28/2017","400.00","406.25","410.00","398.75","25.84K","-2.32%"
"08/25/2017","409.50","409.00","412.75","408.50","26.93K","0.12%"
"08/24/2017","409.00","403.25","411.25","400.75","32.19K","1.43%"
"08/23/2017","403.25","402.50","408.50","401.25","31.83K","0.25%"
"08/22/2017","402.25","410.75","413.00","402.00","33.26K","-1.77%"
"08/21/2017","409.50","414.50","418.75","408.75","26.38K","-1.56%"
"08/18/2017","416.00","414.00","417.75","412.00","34.05K","0.48%"
"08/17/2017","414.00","419.50","422.25","412.25","51.30K","-1.25%"
"08/16/2017","419.25","429.50","435.75","417.00","72.24K","-2.39%"
"08/15/2017","429.50","440.00","440.25","428.00","71.50K","-2.61%"
"08/14/2017","441.00","436.50","441.75","431.00","73.55K","0.40%"
"08/11/2017","439.25","441.50","444.00","434.50","89.53K","-0.28%"
"08/10/2017","440.50","459.50","462.00","439.25","103.45K","-4.13%"
"08/09/2017","459.50","457.25","461.50","454.00","76.42K","0.55%"
